"送信者ＩＤ","送信者ID発行元","受信者ＩＤ","受信者ID発行元","標準名称","バージョン","インスタンスＩＤ","メッセージ種","作成日時","タイプ","テスト区分・最終送信先","テスト区分ＩＤ・最終送信先ＩＤ","メッセージ識別ＩＤ","送信者ステーションアドレス","最終受信者ステーションアドレス","直接受信者ステーションアドレス","取引数","システム情報：キー","システム情報：値","XML内容バージョン：バージョンID","XML構造バージョン：バージョンID","拡張情報：ネームスペース","拡張情報：バージョン番号","支払法人コード","支払法人GLN","支払法人名称","支払法人名称カナ","発注者コード","発注者GLN","発注者名称","発注者名称カナ","取引番号（発注・返品）","取引付属番号","出荷者管理番号","直接納品先コード","直接納品先GLN","直接納品先名称","直接納品先名称カナ","最終納品先コード","最終納品先GLN","最終納品先名称","最終納品先名称カナ","計上部署コード","計上部署GLN","計上部署名称","計上部署名称（カナ）","陳列場所コード","陳列場所名称","陳列場所名称カナ","請求取引先コード","請求取引先GLN","請求取引先名","請求取引先名カナ","取引先コード","取引先GLN","取引先名称","取引先名称カナ","取引先：枝番","出荷先コード","出荷場所GLN","納品経路","便No","通過在庫区分","納品区分","指定納品時刻","輸送手段","バーコード情報","カテゴリー名称1（印字用）","カテゴリー名称2（印字用）","最終納品先略称（印字用）","ラベル自由使用欄（印字用）","ラベル自由使用欄半角カナ（印字用）","入荷管理用メーカーコード","センター納品書番号","商品分類（大）","商品分類（中）","発注日","直接納品先納品日","最終納品先納品日","訂正後直接納品先納品日","計上日","販促開始日","販促終了日","商品区分","発注区分","出荷データ有無区分","EOS区分","PB区分","配送温度区分","酒区分","処理種別","伝票レス区分","取引番号区分","パック区分","不定貫区分","税区分","税率","自由使用欄","自由使用欄半角カナ","原価金額合計","売価金額合計","税額合計金額","数量合計","発注単位数量合計","重量合計","取引明細番号（発注・返品）","取引付属明細番号","元取引番号","元取引明細番号","出荷者管理明細番号","商品分類（小）","商品分類（細）","配達予定日","納品期限","センター納品詳細指示","仮伝フラグ","メーカーコード","商品コード（ＧTIN）","商品コード（発注用）","商品コード区分","商品コード（取引先）","商品名","商品名カナ","商品コード（出荷元）","商品規格：規格","商品規格：規格カナ","カラーコード","カラー名称","カラー名称カナ","サイズコード","サイズ名称","サイズ名称カナ","商品規格.生鮮：入数","商品規格.生鮮：都道府県コード","商品規格.生鮮：国コード","商品規格.生鮮：産地名","商品規格.生鮮：水域コード","商品規格.生鮮：水域名","商品規格.生鮮：原産エリア","商品規格.生鮮：等級","商品規格.生鮮：階級","商品規格.生鮮：銘柄","商品規格.生鮮：商品ＰＲ","商品規格.生鮮：バイオ区分","商品規格.生鮮：品種コード","商品規格.生鮮：養殖区分","商品規格.生鮮：解凍区分","商品規格.生鮮：商品状態区分","商品規格.生鮮：形状・部位","商品規格.生鮮：用途","法定管理義務商材区分","原価金額","原単価","売価金額","売単価","税額","発注単位","発注単位コード","発注荷姿コード","発注数量（バラ）","発注数量（発注単位数）","出荷数量（バラ）","出荷数量（発注単位数）","欠品数量(バラ数)","欠品数量(発注単位数)","欠品区分","取引単位重量","単価登録単位","商品重量","発注重量","出荷重量","ITFコード(集合包装GTIN)","出荷荷姿コード","出荷数量（出荷荷姿数）","賞味期限日","製造日","製造番号"
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74798599","60810","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","101","0","越谷","ｺｼｶﾞﾔ","101","0","","ｺｼｶﾞﾔ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","03","","","","02","01","02","01","01","","","00","05","8","","","8040","12600","642","60","36","","1","","","","","362003","362003004","0000-00-00","","","","","04582152499087","4582152499087","005","4582152499087","純粋はちみつ","ｼﾞｭﾝｽｲﾊﾁﾐﾂ","","１ｋｇ","","","","","","","","1","","","","","","","","","","","","","","","","","","","4680","390","6456","538","374","12","99","01","12","1","12","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736430","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","101","0","越谷","ｺｼｶﾞﾔ","101","0","","ｺｼｶﾞﾔ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","3765","5070","301","15","15","","1","","","","","362017","362017004","0000-00-00","","","","","04901133941269","4901133941269","005","4901133941269","ライトツナフレークまぐろ","ｲﾅﾊﾞ ﾗｲﾄﾂﾅﾌﾚｰｸ 3P","","３缶","","","","","","","","3","","","","","","","","","","","","","","","","","","","3765","251","5070","338","301","15","99","03","15","1","15","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74798605","60810","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","103","0","戸田","ﾄﾀﾞ","103","0","","ﾄﾀﾞ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","03","","","","02","01","02","01","01","","","00","05","8","","","10401","14426","829","67","67","","1","","","","","362012","362012001","0000-00-00","","","","","04903088101477","4903088101477","005","4903088101477","街一番　中華そば","ﾁｭｳｶｿﾊﾞ","","５食入","","","","","","","","1","","","","","","","","","","","","","","","","","","","1110","185","1488","248","88","6","99","01","6","1","6","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736454","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","103","0","戸田","ﾄﾀﾞ","103","0","","ﾄﾀﾞ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","3765","5070","301","15","15","","1","","","","","362017","362017004","0000-00-00","","","","","04901133941269","4901133941269","005","4901133941269","ライトツナフレークまぐろ","ｲﾅﾊﾞ ﾗｲﾄﾂﾅﾌﾚｰｸ 3P","","３缶","","","","","","","","3","","","","","","","","","","","","","","","","","","","3765","251","5070","338","301","15","99","03","15","1","15","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74798612","60810","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","104","0","春日部武里","ﾀｹｻﾄ","104","0","","ﾀｹｻﾄ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","03","","","","02","01","02","01","01","","","00","05","8","","","7360","9800","588","20","20","","1","","","","","362001","362001001","0000-00-00","","","","","04904021145299","4904021145299","005","4904021145299","アーミーグリーン袋","ｷｮｳｴｲ ｱｰﾐｰｸﾞﾘｰﾝﾌｸﾛ 900G","","９００ｇ","","","","","","","","1","","","","","","","","","","","","","","","","","","","5440","680","7184","898","435","8","99","01","8","1","8","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736485","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","105","0","上尾愛宕","ｱｹﾞｵ","105","0","","ｱｹﾞｵ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","1128","1656","90","12","12","","1","","","","","362017","362017001","0000-00-00","","","","","04901133260483","4901133260483","005","4901133260483","もぎたてコーン","ﾓｷﾞﾀﾃｺｰﾝ","","300ｇ","","","","","","","","1","","","","","","","","","","","","","","","","","","","1128","94","1656","138","90","12","99","01","12","1","12","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74798629","60810","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","105","0","上尾愛宕","ｱｹﾞｵ","105","0","","ｱｹﾞｵ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","03","","","","02","01","02","01","01","","","00","05","8","","","6980","9744","558","28","28","","1","","","","","362001","362001001","0000-00-00","","","","","04904021145299","4904021145299","005","4904021145299","アーミーグリーン袋","ｷｮｳｴｲ ｱｰﾐｰｸﾞﾘｰﾝﾌｸﾛ 900G","","９００ｇ","","","","","","","","1","","","","","","","","","","","","","","","","","","","5440","680","7184","898","435","8","99","01","8","1","8","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736508","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","107","0","入間春日町","ｲﾙﾏ","107","0","","ｲﾙﾏ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","3765","5070","301","15","15","","1","","","","","362017","362017004","0000-00-00","","","","","04901133941269","4901133941269","005","4901133941269","ライトツナフレークまぐろ","ｲﾅﾊﾞ ﾗｲﾄﾂﾅﾌﾚｰｸ 3P","","３缶","","","","","","","","3","","","","","","","","","","","","","","","","","","","3765","251","5070","338","301","15","99","03","15","1","15","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736553","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","114","0","春日部大場","ｵｵﾊﾞ","114","0","","ｵｵﾊﾞ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","1128","1656","90","12","12","","1","","","","","362017","362017001","0000-00-00","","","","","04901133260483","4901133260483","005","4901133260483","もぎたてコーン","ﾓｷﾞﾀﾃｺｰﾝ","","300ｇ","","","","","","","","1","","","","","","","","","","","","","","","","","","","1128","94","1656","138","90","12","99","01","12","1","12","1","0","","00","","","","","","","","","","",""
"001010000","CODE","4589799460005","GLN","SecondGenEDI","1P","20201223233445","Shipment N","2020-12-23 23:34:45","","","","MSG-20201223233445","00010100","01010000","01010000","61","","","1.3","1.3","","","458979946","4589799460005","","","458979946","4589799460005","株式会社スーパーバリュー","ｶﾌﾞｼｷｶﾞｲｼｬｽｰﾊﾟｰﾊﾞﾘｭｰ","74736638","","","806","0","野田センター","ﾉﾀﾞｾﾝﾀ","204","0","志茂","ｼﾓ","204","0","","ｼﾓ","","","","0010100","0","ユアサ・フナショク㈱","ﾕｱｻ･ﾌﾅｼﾖｸ(ｶ","0010100","0","ユアサフナショク㈱","ﾕｱｻﾌﾅｼﾖｸ(ｶ","","","","02","01","01","02","","","","","","","","","","","362","362","2020-12-23","2020-12-25","2020-12-25","2020-12-25","0000-00-00","0000-00-00","0000-00-00","01","","","","02","01","02","01","01","","","00","05","8","","","1188","1656","95","12","12","","1","","","","","362017","362017004","0000-00-00","","","","","04901133064159","4901133064159","005","4901133064159","いなば　ライトツナフレーク　７０ｇ","ｲﾅﾊﾞ ﾗｲﾄﾂﾅﾌﾚｰｸ 70G","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1188","99","1656","138","95","12","99","01","12","1","12","1","0","","00","","","","","","","","","","",""
